commit_hash,project,claude_ans,split,qualidade,commit_message,commit_message_len,diff_len,diff_lines
00866f65fcba9bc01c07e1dde06e78942c86f534,camel,Provavelmente sim,train,35,CAMEL-1428: Polished code - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@751479 13f79535-47bb-0310-9956-ffa450edef68n,133,3930,80
008ac13972c5a1f6854fb5a496fcfb3f78dfbe15,camel,Provavelmente sim,test,20,fixed failing test casegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@694290 13f79535-47bb-0310-9956-ffa450edef68n,137,1169,29
00dafd61f2d536b62642e7a8c3efa88444304e86,camel,Sim,train,62,allow the DOT file generation to be easily disabledgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@566258 13f79535-47bb-0310-9956-ffa450edef68n,165,1106,28
00e6866153a50c4d810030f913a6bd28ff2fddd1,camel,Provavelmente sim,train,42,Fixed the FromFtpMoveFileAbsoluteFolderRecursiveTest error on Windows boxgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@752406 13f79535-47bb-0310-9956-ffa450edef68n,178,3984,94
00f8dc241a5d34544f7059d25c1154a23f89bb6c,camel,Provavelmente sim,train,40,Unit test inspired by user request on user forumgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@674790 13f79535-47bb-0310-9956-ffa450edef68n,162,2227,53
01e368410ec60e773e4498489e2c347c278aa045,camel,Provavelmente sim,train,30,CAMEL-384 patch applied with thanks to Marcgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@636956 13f79535-47bb-0310-9956-ffa450edef68n,157,7056,128
02178a126cc6228b70d12722593723fe15b14169,camel,Provavelmente sim,train,35,CAMEL-964 -  Applied patch with thanks -  Fixed spelling - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@703141 13f79535-47bb-0310-9956-ffa450edef68n,173,4327,111
026d443a6826d0394fb4e023bf080b3489a1be38,camel,Provavelmente sim,train,45,added a test case and fix for http://issues - apache - org/activemq/browse/CAMEL-206git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@592040 13f79535-47bb-0310-9956-ffa450edef68n,198,1897,56
02b277179d876e0f9ec6ec3aca434d3ca6dc2f71,camel,Sim,train,72,Fixed NPE in URISupport if URI parameter did not contain a value - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@793814 13f79535-47bb-0310-9956-ffa450edef68n,172,1728,32
02bc369e5183514e7f6584fd791097fd6a7f8f81,camel,Provavelmente sim,train,30,tidied up the code for the BAM Examplegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@565460 13f79535-47bb-0310-9956-ffa450edef68n,152,758,12
02ff6f0e26ebeb123a8b2f8d5e9c09583256f8d5,camel,Sim,test,52,typos and CS errorsgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@740762 13f79535-47bb-0310-9956-ffa450edef68n,124,3428,57
03189290c39d67fe2161db8b234739b7b06468e9,camel,Provavelmente sim,test,28,CAMEL-794: error handler and thread() typegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@689722 13f79535-47bb-0310-9956-ffa450edef68n,156,2973,58
035eabc2e6bfdd15aebce6e86463a6993f963512,camel,Provavelmente sim,train,28,Fixed the build error of JmsComponetgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@789181 13f79535-47bb-0310-9956-ffa450edef68n,141,1606,30
03cd924f46f0f8e6a62471e58cda294ef98b363f,camel,Provavelmente sim,train,52,CAMEL-1700 Adding the verb and URI info on camel-cxfrs endpointgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@785579 13f79535-47bb-0310-9956-ffa450edef68n,168,4731,72
042a061ede7b40296c2104e1e7fc9d402b401667,camel,Sim,test,72,added a typesafe helper method to lookup an endpoint of a specific typegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@619892 13f79535-47bb-0310-9956-ffa450edef68n,185,1942,44
04c374371db69b9d75e5450f54003909e6b344bd,camel,Provavelmente sim,train,52,CAMEL-788: FileConsumer recursive option is now default false -  Polished javadoc on the hl7 stuffgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@683664 13f79535-47bb-0310-9956-ffa450edef68n,212,7283,117
04cf1f00398fa90b7de8736d0f1454b03704ef5b,camel,Provavelmente sim,train,35,applied patch for https://issues - apache - org/activemq/browse/CAMEL-401 with thanks!git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@641864 13f79535-47bb-0310-9956-ffa450edef68n,200,3032,68
052655f96d0c6bd52235e3cae1665cbc9f32b5e8,camel,Provavelmente sim,train,28,added some helper methodsgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@595616 13f79535-47bb-0310-9956-ffa450edef68n,139,1892,50
054ca22a18a8db50b04e0a2ca0bcd3ae94650d50,camel,Provavelmente não,train,30,Added a property map to the Route so that route metadata can be attached - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@521588 13f79535-47bb-0310-9956-ffa450edef68n,189,1621,39
0595242f9393f0547e028522e5f1a1d19ac23c36,camel,Provavelmente não,test,22,CAMEL-1710 fixed the test errors of FileExclusiveReadRenameStrategyTest on Windowsgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@784697 13f79535-47bb-0310-9956-ffa450edef68n,187,11185,196
05ffa81a308ff7a740ebc3b37ffe04dbe32fb216,camel,Provavelmente sim,test,40,added reminder to zap code (I love retiring old code! :)git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@765918 13f79535-47bb-0310-9956-ffa450edef68n,161,1126,17
08b74017ab3c0dbb06c8b89aa1be48244ed43b3b,camel,Provavelmente sim,train,52,CAMEL-444: Properly stopping down FTPServer when doing unit tests to get rid of WARNgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@645256 13f79535-47bb-0310-9956-ffa450edef68n,198,8622,148
090d780cd62bc6ba922ea55e6ed373a0eba26fea,camel,Provavelmente sim,test,52,Fixing a timing issue in the threads for the CountingLatchgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@697674 13f79535-47bb-0310-9956-ffa450edef68n,172,1007,22
0a2be8e9b8c37119f852da08c58ca5a2f64a0c02,camel,Sim,train,72,JMS concurrent consumers with JMSReply (InOut MEP) unit test based on user request on forum -  Now with timing assertions - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@674890 13f79535-47bb-0310-9956-ffa450edef68n,238,2124,33
0a8a7e347cae62c3fb8db2a61bc66ccf449f14e8,camel,Provavelmente sim,train,35,Fixed some typoes of ReportIncident examplegit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@790021 13f79535-47bb-0310-9956-ffa450edef68n,148,2234,26
0aa5873781da7f0536407c939791c0053374272a,camel,Provavelmente sim,train,52,CAMEL-1052 Better toString method for the child class of DelegateProcessorgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@711219 13f79535-47bb-0310-9956-ffa450edef68n,188,3507,70
0b0175aa862eeb346fb7217a3f1bc083a21aad72,camel,Provavelmente sim,train,35,Clean osgi sample outputgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@608268 13f79535-47bb-0310-9956-ffa450edef68n,138,787,13
0be267efde39d2eceed1761d579f050d4d96833d,camel,Provavelmente sim,train,52,Fixed the VelocityBodyAsDomainObjectTest test failure in Windows boxgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@676462 13f79535-47bb-0310-9956-ffa450edef68n,182,1589,30
