;Unnamed: 0;commit_hash;author_date_unix_timestamp;commit_message;fix;classification;contains_bug;ns;nd;nf;entrophy;la;ld;lt;ndev;age;nuc;exp;rexp;sexp;contains_bug_gpt;vl;vl_gpt
0;18433;e24538a4590684d910dbdac8762c85881f519dd5;1063070644;Initial revision;False;Feature Addition;False;6.0;37.0;639.0;8.421990880965328;179873.0;0.0;281.49139280125195;1.0;0.0;639.0;319.0;0.0;94.0;0;0;0
1;18432;5d4d66f2f399682531c311238449731718a1ef06;1063070644;Initial revision;False;Feature Addition;False;6.0;37.0;639.0;8.421990880965328;179873.0;0.0;0.0;1.0;0.0;0.0;319.0;0.0;94.0;0;0;0
2;18431;33e9f5e7e8cb362f2a5ae2a8ee5f34bd69e850c0;1063071102;*** empty log message ***;False;;False;1.0;1.0;15.0;0.0;0.0;0.0;0.0;1.0;0.0;15.0;646.0;0.0;14.0;0;0;0
3;18430;9256319ad88235970b6427c18cf001356b304c17;1063071102;*** empty log message ***;False;;False;1.0;1.0;15.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;646.0;0.0;14.0;0;0;0
4;18428;4a0d43bb030733128090b6c5ec3e36f56d06f4b5;1063155353;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;7.0;1.0;1698.0;1.0;0.9804282407407408;2.0;654.0;2.0199624597150243;179.0;0;0;0
5;18429;d849c7bb786f68014d0250cd5ac114877e8b67c8;1063155353;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;7.0;1.0;1704.0;1.0;0.0;3.0;654.0;0.0;179.0;0;0;0
6;18426;bd52b5e18754b302b1799cfe1ae7a9f2eec81620;1063302777;Added default.xml handling as a resource;False;Feature Addition;False;1.0;1.0;1.0;0.0;44.0;46.0;186.0;1.0;0.0;3.0;655.0;0.0;327.0;0;0;0
7;18427;1fd0ab3ac75412b14c0bd4de648f8862094adf20;1063302777;Added default.xml handling as a resource;False;Feature Addition;False;1.0;1.0;1.0;0.0;44.0;46.0;188.0;1.0;2.686724537037037;2.0;655.0;1.3722004195870472;327.0;0;0;0
8;18425;fe718727e7048045e05256d29eb622c413482508;1063302914;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;6.0;1.0;3294.0;1.0;2.6883101851851854;2.0;656.0;1.3719808843156671;180.0;0;0;0
9;18424;f21de025ee5fc3dcdeeda9241e0d295389a82f28;1063302914;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;6.0;1.0;3299.0;1.0;0.0;3.0;656.0;0.0;180.0;0;0;0
10;18423;d52219f831c9a57133eab987525b45229884fbe3;1063303507;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;2.0;2.0;2646.0;1.0;0.0;3.0;657.0;0.0;328.0;0;0;0
11;18422;678b5c13fd2e532d91902c16d2f9271789690937;1063303507;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;2.0;2.0;2646.0;1.0;2.695173611111111;2.0;657.0;1.3710336120379794;328.0;0;0;0
12;18421;fa1f20d4aa8987eb6bfb1d0868cb538dda4d11a7;1063876335;Add new tests with timeout operations;False;Feature Addition;False;1.0;1.0;1.0;0.0;190.0;1.0;1151.0;1.0;0.0;3.0;1.0;0.0;1.0;0;0;0
13;18420;9afd6b6a5359169f5e813349e9405237a10a03c9;1063876335;Add new tests with timeout operations;False;Feature Addition;False;1.0;1.0;1.0;0.0;190.0;1.0;962.0;1.0;9.325127314814814;2.0;0.0;0.0;0.0;0;0;0
14;18419;74292513d855fdf05843c315f0fa145321de3468;1063878776;Channel local (no network) junit test;False;Preventative;False;1.0;1.0;1.0;0.0;603.0;0.0;603.0;1.0;0.0;1.0;3.0;0.0;3.0;0;0;0
15;18418;f639e20bd86c069a36a5ee7322ae9d1301b36857;1063878776;Channel local (no network) junit test;False;Preventative;False;1.0;1.0;1.0;0.0;603.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0;0;0
16;18417;12f1a70d8aa06397f4228fe97d179555fe588ffc;1063988232;Changed sleep() to thread.join();False;;False;1.0;1.0;1.0;0.0;4.0;2.0;1206.0;1.0;1.266851851851852;2.0;658.0;1.789358280953077;95.0;0;0;0
17;18416;4700f519582e8a8ba5128e86b063366dcbdad6d2;1063988232;Changed sleep() to thread.join();False;;False;1.0;1.0;1.0;0.0;4.0;2.0;1208.0;1.0;0.0;3.0;658.0;0.0;95.0;0;0;0
18;18415;59903254d8227cf39473f1a5522fd9b2127abdbc;1063995637;added testWaitUntilEmpty();False;Feature Addition;False;1.0;1.0;1.0;0.0;60.0;1.0;1399.0;1.0;0.0;5.0;659.0;0.0;96.0;0;0;0
19;18414;e9daeb4128427a37147d9279a38a7d1f54f27e41;1063995637;added testWaitUntilEmpty();False;Feature Addition;False;1.0;1.0;1.0;0.0;60.0;1.0;1340.0;1.0;1.3808101851851853;4.0;659.0;1.7242125027241788;96.0;0;0;0
20;18413;f8bdb4a90115b4d7fb36cef4b1055f505d7a09b5;1063995653;Added waitUntilEmpty();False;Feature Addition;False;1.0;1.0;1.0;0.0;32.0;5.0;1169.0;1.0;0.0;3.0;660.0;0.0;329.0;0;0;0
21;18412;169ab1d833f7a163dae83d9e5ccecddbe74d9f96;1063995653;Added waitUntilEmpty();False;Feature Addition;False;1.0;1.0;1.0;0.0;32.0;5.0;1142.0;1.0;10.706122685185186;2.0;660.0;1.093404496604898;329.0;0;0;0
22;18411;55951ed927a5953fb1d533e173b6e73518467053;1064019941;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;3.0;3.0;1458.0;1.0;0.0;7.0;661.0;0.0;97.0;0;0;0
23;18410;101dc77589cc83fae5644d86bba1bfeac8fbc329;1064019941;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;3.0;3.0;1458.0;1.0;0.2812962962962963;6.0;661.0;4.554970375246873;97.0;0;0;0
24;18409;5c040f7ab1d9b30f7ea9217b80526daca0bad4e8;1064020575;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;42.0;2.0;1458.0;1.0;0.0073379629629629;8.0;662.0;137.2776025236593;98.0;0;0;0
25;18408;aa13d65178aeeb1f2a1eaa1a5722d1932a92429f;1064020575;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;42.0;2.0;1498.0;1.0;0.0;9.0;662.0;0.0;98.0;0;0;0
26;18407;2fc42835fb451fd01f7b4a0e8a2a4ed2b370f0ae;1064021565;*** empty log message ***;False;;False;1.0;2.0;2.0;0.5713549744279548;71.0;40.0;950.5;1.0;0.0;8.0;663.5;0.0;331.0;0;0;0
27;18406;ce6dcc94583dae3d54c2a076767856243e15112a;1064021565;*** empty log message ***;False;;False;1.0;2.0;2.0;0.5713549744279548;71.0;40.0;935.0;1.0;5.652968749999999;6.0;663.5;1.08965419152214;331.0;0;0;0
28;18405;b5815e454146fd0dc2083d57c9f771aac9e2e5bb;1064180205;Tests are ok now.;False;Preventative;False;1.0;1.0;1.0;0.0;126.0;86.0;1250.0;1.0;0.0;5.0;5.0;0.0;5.0;0;0;0
29;18404;91bd126cf6ad779f7c4104786fc225e3e9aa71ef;1064180205;Tests are ok now.;False;Preventative;False;1.0;1.0;1.0;0.0;126.0;86.0;1210.0;1.0;2.221909722222222;4.0;4.0;1.450063290150177;4.0;0;0;0
30;18403;189dba1b5b8fead8527c6b994be3f7c2b057e5cd;1064269530;added polling impl of waitUntilEmpty();False;Feature Addition;False;1.0;1.0;1.0;0.0;26.0;25.0;1233.0;1.0;0.0;7.0;665.0;0.0;332.0;0;0;0
31;18402;dceb770de1173345512a6005f620cf2be5ef875e;1064269530;added polling impl of waitUntilEmpty();False;Feature Addition;False;1.0;1.0;1.0;0.0;26.0;25.0;1232.0;1.0;2.8699652777777778;6.0;665.0;1.3484362712479585;332.0;0;0;0
32;18401;f7025fd7f235a02c1d295e24fe0572f51981ae62;1064276548;Added remove_mutex;False;Feature Addition;False;1.0;1.0;1.0;0.0;33.0;15.0;1252.0;1.0;0.0;9.0;666.0;0.0;333.0;0;0;0
33;18400;9f90c87c92dc74dab606e14936de779f4e689909;1064276548;Added remove_mutex;False;Feature Addition;False;1.0;1.0;1.0;0.0;33.0;15.0;1234.0;1.0;0.0812268518518518;8.0;666.0;13.31119977201482;333.0;0;0;0
34;18398;bea305b9e0b03c1228e6a2cbc247c6f2c5707c41;1064276619;*** empty log message ***;False;;True;2.0;2.0;2.0;0.9957274520849256;8.0;5.0;1825.0;1.0;12.613888888888887;6.0;667.5;1.0641860433148436;99.0;1;2099;2099
35;18399;9229def1ce8da7b77fad916ac09eba905a994a1f;1064276619;*** empty log message ***;False;;True;2.0;2.0;2.0;0.9957274520849256;8.0;5.0;1826.5;1.0;0.0;8.0;667.5;0.0;99.0;1;2099;2099
36;18396;2bbc6a60664e5956a0d8e9bf5bc6185f0993962c;1064276665;Added testWaitUtnilQueueClosed();False;Feature Addition;False;1.0;1.0;1.0;0.0;36.0;2.0;1538.0;1.0;2.96400462962963;10.0;669.0;1.3373813893553048;100.0;0;0;0
37;18397;0383eab821583101e9124c1b9f99552d5e2bd7da;1064276665;Added testWaitUtnilQueueClosed();False;Feature Addition;False;1.0;1.0;1.0;0.0;36.0;2.0;1572.0;1.0;0.0;11.0;669.0;0.0;100.0;0;0;0
38;18394;14f5c48ce1ddff7778435dec9f65f90ccf09609c;1064277086;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;1.0;0.0;29.0;1.0;0.0;3.0;670.0;0.0;27.0;0;0;0
39;18395;3a56eed6b81e0ba6082e1eeeba552f5252a756c3;1064277086;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;1.0;0.0;28.0;1.0;13.963449074074074;2.0;670.0;1.0716155438885582;27.0;0;0;0
40;18393;52d1a50cd4d672c3ff610347ec2d5329f063b61a;1064277673;*** empty log message ***;False;;False;3.0;3.0;3.0;0.9399137497306086;56.0;7.0;1543.6666666666667;1.0;0.0;19.0;672.0;0.0;101.0;0;0;0
41;18392;433e8f804e388f9ed82c1f87a935dac9d47ebf73;1064277673;*** empty log message ***;False;;False;3.0;3.0;3.0;0.9399137497306086;56.0;7.0;1527.3333333333333;1.0;0.0084066358024691;16.0;672.0;54.75862228116757;101.0;0;0;0
42;18390;70e8d69466f03e6c44f734338cd27b13a39d6180;1064277699;Added flushing of down queues before calling start();False;Feature Addition;False;1.0;1.0;1.0;0.0;5.0;3.0;700.0;1.0;2.964513888888889;4.0;674.0;1.337323432265923;335.0;0;0;0
43;18391;a154f56e4c7bc680e19a8caa346455a72ba7c6e0;1064277699;Added flushing of down queues before calling start();False;Feature Addition;False;1.0;1.0;1.0;0.0;5.0;3.0;702.0;1.0;0.0;5.0;674.0;0.0;335.0;0;0;0
44;18388;17813026044bcf211c23e13fbba2a023c854063d;1064394278;Channel junit test class with two channels instance;False;Preventative;False;1.0;1.0;2.0;0.0434140763380584;842.0;2.0;645.0;1.0;1.2388483796296297;6.0;6.5;0.7018003204514348;7.0;0;0;0
45;18389;3e19a7d05f4fc506faa0eb40c104ec4cf69a27f0;1064394278;Channel junit test class with two channels instance;False;Preventative;False;1.0;1.0;2.0;0.0434140763380584;842.0;2.0;1065.0;1.0;0.0;8.0;8.5;0.0;9.0;0;0;0
46;18386;7dec25e4e0c71253bc1ff8e500ca4177aca302d7;1064396034;Correct insertion timing;False;;False;1.0;1.0;1.0;0.0;3.0;3.0;1290.0;1.0;0.0;9.0;11.0;0.0;11.0;0;0;0
47;18387;70ba189ecfc5c63bd996b76ad0290b0947ae88a7;1064396034;Correct insertion timing;False;;False;1.0;1.0;1.0;0.0;3.0;3.0;1290.0;1.0;0.020324074074074;8.0;10.0;50.20273348519362;10.0;0;0;0
48;18384;3b160bda4a224f069cae0fd1aa28eba713563828;1064405395;add testMultipleWriterMultipleReader;False;Feature Addition;False;1.0;1.0;1.0;0.0;147.0;15.0;1290.0;1.0;0.1083449074074074;10.0;12.0;10.22978314282662;12.0;0;0;0
49;18385;8a977a96263abaae3b567ac2da82a43d4cfe2e42;1064405395;add testMultipleWriterMultipleReader;False;Feature Addition;False;1.0;1.0;1.0;0.0;147.0;15.0;1422.0;1.0;0.0;11.0;13.0;0.0;13.0;0;0;0
50;18383;c5a51ae6fa5e474f2944b05f4d210f5bec92a571;1064410747;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;1.0;2.0;1261.0;1.0;0.0;13.0;675.0;0.0;336.0;0;0;0
51;18382;36a800a52b35afe259fc274405a85b04fc55fa1b;1064410747;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;1.0;2.0;1262.0;1.0;1.5402083333333334;12.0;675.0;1.6492628161774652;336.0;0;0;0
52;18381;092cd9072195c86e7f3f1e50ed372a3e3b2c95c0;1064426049;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;1.0;3.0;30.0;1.0;0.0;3.0;676.0;0.0;28.0;0;0;0
53;18380;1e60e21bfb8f3eede5e5219f9bd92a96df77276e;1064426049;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;1.0;3.0;32.0;1.0;15.68755787037037;2.0;676.0;1.063744784769128;28.0;0;0;0
54;18379;93fd6241631b11f4d4361847538df32d9ab97472;1064427352;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;4.0;4.0;1606.0;1.0;0.0;13.0;677.0;0.0;102.0;0;0;0
55;18378;c45bc72213462e12a64ef867a8c0994a8ca0fcc5;1064427352;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;4.0;4.0;1606.0;1.0;1.7440625;12.0;677.0;1.573373947321269;102.0;0;0;0
56;18377;710271999d57a4b37d9986fe50edbf1daed79d86;1064428306;*** empty log message ***;False;;False;1.0;1.0;1.0;0.0;3.0;2.0;1555.0;1.0;0.0;13.0;678.0;0.0;103.0;0;0;0
