mean_cv_score,std_cv_score,params,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
0.8278140505653118,0.015669407765210676,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",21.0,sqrt,1,2,200
0.8278140505653118,0.015669407765210676,"{'max_depth': 21, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",21.0,log2,1,2,200
0.8253142171806334,0.01498686707836165,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",21.0,sqrt,1,2,100
0.8253142171806334,0.01498686707836165,"{'max_depth': 21, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",21.0,log2,1,2,100
0.8248853131212975,0.01346711008055999,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,sqrt,1,2,200
0.8248853131212975,0.01346711008055999,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,log2,1,2,200
0.8234199119894988,0.01981690600714222,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,log2,1,2,100
0.8234199119894988,0.01981690600714222,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,sqrt,1,2,100
0.8231989814626077,0.01692022641049381,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",,log2,1,10,200
0.8231989814626077,0.01692022641049381,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",,sqrt,1,10,200
0.8226793774768307,0.014964892140712643,"{'max_depth': 21, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",21.0,log2,1,10,200
