model,seed,n_train,n_test,best_params,elapsed_sec,precision_bug,recall_bug,f1_bug,precision_clean,recall_clean,f1_clean,f1_macro,gmean_recall,roc_auc
RandomForest,1,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",99.29727640002966,0.8321078431372549,0.9053333333333333,0.8671775223499362,0.8961988304093568,0.8173333333333334,0.8549511854951185,0.8610643539225273,0.860208760192031,0.9216702222222223
LogisticRegression,1,3500,1500,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",8.46772980003152,0.7099447513812155,0.6853333333333333,0.6974219810040706,0.6958762886597938,0.72,0.7077326343381389,0.7025773076711048,0.7024528453924861,0.7717706666666666
RandomForest,2,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",100.11785209993832,0.7964071856287425,0.8866666666666667,0.8391167192429022,0.8721804511278195,0.7733333333333333,0.8197879858657244,0.8294523525543134,0.828063336278626,0.9071377777777778
LogisticRegression,2,3500,1500,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}",6.319058199995197,0.6701708278580815,0.68,0.6750496360026472,0.6752368064952639,0.6653333333333333,0.6702484889187375,0.6726490624606923,0.6726266919076782,0.7559946666666667
RandomForest,3,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",101.11078639992047,0.8198992443324937,0.868,0.8432642487046632,0.8597733711048159,0.8093333333333333,0.8337912087912088,0.838527728747936,0.8381535261116148,0.9182168888888889
LogisticRegression,3,3500,1500,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}",7.6017390000633895,0.6974219810040706,0.6853333333333333,0.691324815063887,0.690694626474443,0.7026666666666667,0.6966292134831461,0.6939770142735165,0.6939458832566765,0.7691502222222223
RandomForest,4,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",100.7826509999577,0.8070818070818071,0.8813333333333333,0.8425748884639898,0.869309838472834,0.7893333333333333,0.827393431167016,0.8349841598155029,0.8340658114188458,0.9098951111111111
LogisticRegression,4,3500,1500,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",4.951934300013818,0.6907894736842105,0.7,0.695364238410596,0.6959459459459459,0.6866666666666666,0.6912751677852349,0.6933197030979155,0.6933012813104175,0.7688711111111111
RandomForest,5,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.72784459998365,0.8278894472361809,0.8786666666666667,0.8525226390685641,0.8707386363636364,0.8173333333333334,0.8431911966987621,0.847856917883663,0.8474453112476082,0.9191671111111113
LogisticRegression,5,3500,1500,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",6.736537899938412,0.6990291262135923,0.672,0.6852481305234535,0.6842105263157895,0.7106666666666667,0.697187704381949,0.6912179174527012,0.6910629493758148,0.7760977777777778
